Standard,Reference,Process Area,Audit Theme,Internal Readiness Prompt,Status,Evidence,Finding,Owner,Due Date
IATF 16949:2016,4.4,QMS,QMS process effectiveness,"Laboratory processes, interfaces, measures, risks and process ownership are defined and effective.",Not Audited,,,,
IATF 16949:2016,4.4.1.2,QMS,Product safety support,"Product-safety related validation requirements receive defined responsibility, escalation and evidence controls where applicable.",Not Audited,,,,
IATF 16949:2016,5.1,Leadership,Leadership & customer focus,"Management demonstrates ownership of customer, quality, delivery and laboratory performance.",Not Audited,,,,
IATF 16949:2016,6.1,Planning,Risk analysis & contingency,"Capacity, equipment, utilities, staffing, calibration and supplier risks have contingency controls.",Not Audited,,,,
IATF 16949:2016,7.1.3,Support,Infrastructure,Infrastructure is adequate for product/process validation and planned growth.,Not Audited,,,,
IATF 16949:2016,7.1.4,Support,Environment for process operation,Environmental and housekeeping conditions support reliable test execution.,Not Audited,,,,
IATF 16949:2016,7.1.5,Support,Monitoring & measuring resources,"Measurement resources are suitable, calibrated/verified and traceable as required.",Not Audited,,,,
IATF 16949:2016,7.1.5.1.1,Support,Measurement-system analysis,Relevant measurement systems are evaluated for suitability and variation before product decisions.,Not Audited,,,,
IATF 16949:2016,7.1.5.2.1,Support,Calibration / verification records,"Calibration and verification records preserve identity, status, traceability, changes and out-of-tolerance impact where applicable.",Not Audited,,,,
IATF 16949:2016,7.1.5.3.1,Support,Internal laboratory scope,"The internal laboratory has a defined scope, competent personnel, suitable methods/equipment and controlled records for the services it performs.",Not Audited,,,,
IATF 16949:2016,7.1.5.3.2,Support,External laboratory control,External laboratory services are selected and controlled against applicable qualification/accreditation and customer requirements.,Not Audited,,,,
IATF 16949:2016,7.2,Support,Competence & qualification,Personnel performing validation and review activities are competent and appropriately authorised.,Not Audited,,,,
IATF 16949:2016,7.2.3,Support,Internal auditor competency,Internal auditors are selected and maintained as competent for the processes and requirements they audit.,Not Audited,,,,
IATF 16949:2016,7.5,Support,Documented information,"Specifications, methods, revisions, records and externally-originated documents are controlled.",Not Audited,,,,
IATF 16949:2016,8.1,Operations,Operational planning & control,"Validation demand is planned against resources, timing, criteria, risks and changes.",Not Audited,,,,
IATF 16949:2016,8.3,Operations,Design/development validation,Validation plans demonstrate requirement coverage and objective evidence for design outputs.,Not Audited,,,,
IATF 16949:2016,8.5.1,Operations,Controlled execution,"Test execution uses released instructions, suitable resources and controlled process conditions.",Not Audited,,,,
IATF 16949:2016,8.5.1.5,Operations,Total productive maintenance,"Equipment maintenance is planned, measured and aligned to operational risk and capacity.",Not Audited,,,,
IATF 16949:2016,8.5.6,Operations,Change control,"Changes to methods, specifications, equipment, software and test conditions are reviewed for impact.",Not Audited,,,,
IATF 16949:2016,8.6,Operations,Release / approval,Results and reports receive defined verification/review before release.,Not Audited,,,,
IATF 16949:2016,8.7,Operations,Nonconforming outputs,"Failed/nonconforming results, samples and invalid test work are contained and dispositioned.",Not Audited,,,,
IATF 16949:2016,9.1,Performance,Performance evaluation,"Quality, delivery, capacity, cost, reliability and customer-related laboratory metrics are reviewed.",Not Audited,,,,
IATF 16949:2016,9.2,Performance,Internal audit,"Internal audits cover system, process and relevant product/test evidence with risk-based frequency.",Not Audited,,,,
IATF 16949:2016,9.3,Performance,Management review,"Management reviews performance trends, resource adequacy, risks, audit results and improvement actions.",Not Audited,,,,
IATF 16949:2016,10.2,Improvement,Problem solving / corrective action,"Problems are contained, root-caused, corrected and verified for effectiveness and recurrence prevention.",Not Audited,,,,
IATF 16949:2016,CSR,Customer,Customer-specific requirements,Applicable customer-specific requirements are identified and incorporated into validation/test controls.,Not Audited,,,,
