Standard,Reference,Process Area,Audit Theme,Internal Readiness Prompt,Status,Evidence,Finding,Owner,Due Date
ISO/IEC 17025:2017,4.1,Governance,Impartiality,"Risks to impartiality are identified, reviewed and controlled.",Not Audited,,,,
ISO/IEC 17025:2017,4.2,Governance,Confidentiality,Customer and laboratory information is protected and disclosure controls are defined.,Not Audited,,,,
ISO/IEC 17025:2017,5,Governance,Structural requirements,"Laboratory responsibilities, authority and organizational interfaces are defined.",Not Audited,,,,
ISO/IEC 17025:2017,6.2,Resources,Personnel competence,"Competence, qualification, authorisation and ongoing monitoring are controlled.",Not Audited,,,,
ISO/IEC 17025:2017,6.3,Resources,Facilities & environmental conditions,"Facilities and environmental conditions are suitable, monitored and recorded where relevant.",Not Audited,,,,
ISO/IEC 17025:2017,6.4,Resources,Equipment,"Equipment is suitable, identified, maintained, calibrated where required and protected from invalid use.",Not Audited,,,,
ISO/IEC 17025:2017,6.5,Resources,Metrological traceability,Measurement traceability is established and supported by appropriate calibration/reference evidence.,Not Audited,,,,
ISO/IEC 17025:2017,6.6,Resources,Externally provided products/services,External suppliers affecting laboratory results are evaluated and controlled.,Not Audited,,,,
ISO/IEC 17025:2017,7.1,Process,Review of requests / contracts,"Test demand is reviewed for method, capability, capacity, acceptance criteria and customer needs before commitment.",Not Audited,,,,
ISO/IEC 17025:2017,7.2,Process,Methods & method validation,Methods are controlled by revision and non-standard/laboratory-developed methods are validated before routine use.,Not Audited,,,,
ISO/IEC 17025:2017,7.3,Process,Sampling,"Where sampling is performed, plans, methods, records and sample identity are defined and controlled.",Not Audited,,,,
ISO/IEC 17025:2017,7.4,Process,Handling of test items,"DUT/sample identity, condition, storage, handling and disposition are controlled.",Not Audited,,,,
ISO/IEC 17025:2017,7.5,Process,Technical records,Technical records preserve sufficient information to reconstruct test execution and evidence.,Not Audited,,,,
ISO/IEC 17025:2017,7.6,Process,Measurement uncertainty,Measurement uncertainty is evaluated where relevant to validity or decision rules.,Not Audited,,,,
ISO/IEC 17025:2017,7.7,Process,Validity of results,Quality-control activities are used to monitor and demonstrate validity of results.,Not Audited,,,,
ISO/IEC 17025:2017,7.8,Process,Reporting of results,"Reports are complete, traceable, reviewed and clearly identify results and relevant conditions.",Not Audited,,,,
ISO/IEC 17025:2017,7.9,Process,Complaints,"Complaints are received, evaluated, investigated, tracked and resolved with appropriate independence.",Not Audited,,,,
ISO/IEC 17025:2017,7.10,Process,Nonconforming work,"Nonconforming laboratory work is controlled, impact assessed and dispositioned.",Not Audited,,,,
ISO/IEC 17025:2017,7.11,Process,Data & information management,"Laboratory information systems and calculations are protected, validated and controlled.",Not Audited,,,,
ISO/IEC 17025:2017,8.2,Management system,Management-system documentation,"Policies, objectives and management-system information needed for consistent laboratory operation are defined and maintained.",Not Audited,,,,
ISO/IEC 17025:2017,8.3,Management system,Control of management-system documents,"Management-system documents are approved, current at point of use and protected from unintended use of obsolete information.",Not Audited,,,,
ISO/IEC 17025:2017,8.4,Management system,Control of records,"Records are identified, retained, protected, retrievable and dispositioned in a controlled manner.",Not Audited,,,,
ISO/IEC 17025:2017,8.5,Management system,Risks & opportunities,Risks and opportunities affecting laboratory objectives are identified and acted upon.,Not Audited,,,,
ISO/IEC 17025:2017,8.6,Management system,Improvement,Improvement opportunities and customer/laboratory feedback are evaluated and used to improve the management system.,Not Audited,,,,
ISO/IEC 17025:2017,8.7,Management system,Corrective actions,"Root cause, action, effectiveness and recurrence prevention are demonstrated for nonconformities.",Not Audited,,,,
ISO/IEC 17025:2017,8.8,Management system,Internal audits,Internal audits cover the management system and laboratory activities on a planned basis.,Not Audited,,,,
ISO/IEC 17025:2017,8.9,Management system,Management reviews,"Management review uses performance, risk, resources, complaints, audit and improvement inputs.",Not Audited,,,,
